date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
6/16/2018,12069,1141,2581,1170,1376,516,67,49,21,14,141,32,46,11,0.009899033,1.2313,5717,4643,6455.45,6592.49,6402.29,6550.16,3194170112,1.10E+11,490.41,503.22,488.85,499.64,1314109952,49090068480
6/17/2018,11754,1105,2563,1228,1206,421,72,50,19,10,153,40,50,10,0.005248845,1.191,5507,4624,6545.53,6589.11,6499.27,6499.27,3104019968,1.12E+11,499.46,507.64,498.65,500.45,1264870016,50005819392
6/18/2018,15410,1860,3301,1518,1753,681,100,77,24,11,193,53,74,10,0.010714777,1.1978,6745,5631,6510.07,6781.14,6446.68,6734.82,4039200000,1.11E+11,499.38,521.8,494.07,518.89,1513869952,50008236032
6/19/2018,15980,2184,3486,1585,1567,546,119,89,20,11,245,71,86,11,0.011594624,1.1923,7007,5877,6742.39,6822.5,6709.92,6769.94,4057029888,1.15E+11,519.02,542.35,516.31,537.96,1726569984,51985747968
6/20/2018,17159,1945,3864,1803,1898,679,130,92,33,16,194,42,134,12,0.011856868,1.288,7727,5999,6770.76,6821.56,6611.88,6776.55,3888640000,1.16E+11,538.51,541.02,519.37,536.27,1596290048,53948207104
6/21/2018,16318,1970,3173,1437,1579,627,112,84,17,10,242,55,70,14,0.012215502,0.9537,6514,6830,6780.09,6810.94,6715.17,6729.74,3529129984,1.16E+11,536.45,543.72,524.26,527.37,1462070016,53752930304
6/22/2018,19975,1819,4042,1744,2375,858,90,63,29,22,217,48,99,38,0.012360978,1.1728,7677,6546,6737.88,6747.08,6006.6,6083.69,5079810048,1.15E+11,527.19,527.19,456.88,465.82,2226030080,52836593664
6/23/2018,14454,1280,2921,1277,1736,661,94,72,15,6,154,28,84,28,0.012197755,1.2526,6343,5064,6090.1,6224.82,6071.81,6162.48,3431360000,1.04E+11,466.27,479.13,462.39,474.52,1651379968,46740672512
6/24/2018,19178,1268,3855,1771,2308,822,91,63,21,16,172,52,68,13,0.015504249,1.2598,7380,5858,6164.28,6223.78,5826.41,6173.23,4566909952,1.05E+11,474.77,475.36,426.47,457.67,2490579968,47601897472
6/25/2018,15527,1711,3485,1655,1672,606,121,81,21,13,216,46,70,11,0.011465886,1.2424,6842,5507,6171.97,6327.37,6119.68,6249.18,5500810240,1.06E+11,455.94,470.34,448.9,460.31,4007950080,45723099136
6/26/2018,16413,1878,3590,1691,1769,641,122,91,21,11,215,45,90,18,0.014803337,1.2339,7064,5725,6253.55,6290.16,6093.67,6093.67,3279759872,1.07E+11,460.73,461.21,432.77,432.77,1356560000,46213595136
6/27/2018,17015,1874,3748,1796,1733,616,106,78,32,16,199,55,108,16,0.014025001,1.1672,6946,5951,6084.4,6180,6052.85,6157.13,3296219904,1.04E+11,432.24,444.24,424.84,442.36,1368940032,43364880384
6/28/2018,16024,1786,3607,1631,1670,571,126,102,23,16,242,45,81,12,0.009277535,1.2576,7220,5741,6153.16,6170.41,5873.05,5903.44,3467800064,1.05E+11,442.29,443.62,419.68,422.36,1360790016,44381904896
6/29/2018,19810,1748,4265,1917,2093,805,115,90,22,15,171,37,101,10,0.010847297,1.1992,7494,6249,5898.13,6261.66,5835.75,6218.3,3966230016,1.01E+11,422.59,441.79,407.95,436.01,1564499968,42413408256
