date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap
10/27/2016,5450,437,1233,606,749,339,63,37,22,15,51,7,30,10,0.031280828,1.6142,2699,1672,678.21,688.59,678.04,688.31,"96,105,296","10,812,499,968"
10/28/2016,4360,340,1066,522,538,227,46,24,18,7,33,6,18,1,0.022843351,1.4094,1945,1380,688,690.44,684.16,689.65,"81,145,504","10,969,799,680"
10/29/2016,4523,297,1015,448,533,207,39,33,10,4,27,10,14,4,0.018389082,1.3013,1909,1467,690.29,720.4,690.05,714.48,"134,760,992","11,007,599,616"
10/30/2016,3579,286,909,441,403,173,44,35,12,5,31,5,16,3,0.015661295,1.2668,1643,1297,714.12,714.12,696.47,701.86,"100,665,000","11,388,800,000"
10/31/2016,3506,305,816,386,452,156,44,27,9,5,28,6,10,1,0.022506783,1.2936,1771,1369,702.64,709.29,691.68,700.97,"97,064,400","11,207,199,744"
11/1/2016,4339,346,1021,462,575,230,54,39,12,4,33,6,15,1,0.020937276,1.2932,1985,1535,701.34,736.45,701.34,729.79,"130,527,000","11,187,699,712"
11/2/2016,4002,384,990,481,498,195,53,37,12,4,45,8,23,4,0.018021514,1.3264,1857,1400,730.07,740.83,722.35,740.83,"84,865,200","11,647,200,256"
11/3/2016,5147,397,1078,478,614,248,56,36,14,7,32,5,16,2,0.013084312,1.2256,2032,1658,742.35,745.77,678.16,688.7,"172,808,000","11,844,299,776"
11/4/2016,3343,286,841,432,429,208,38,27,11,5,39,9,19,2,0.013814727,1.262,1599,1267,689.12,706.93,685.56,703.23,"99,907,696","10,996,400,128"
11/5/2016,2533,233,662,348,338,147,22,20,11,6,22,3,5,1,0.017147706,1.2439,1285,1033,703.53,707.51,697.74,703.42,"53,752,300","11,227,199,488"
11/6/2016,3345,267,789,415,498,201,46,31,7,2,40,7,5,0,0.00891123,1.3884,1537,1107,703.81,714.26,699.56,711.52,"59,902,200","11,233,000,448"
11/7/2016,5319,342,1263,554,623,239,48,37,14,9,32,7,24,0,0.01298892,0.7398,1771,2394,710.74,710.74,699.9,703.13,"65,047,100","11,344,799,744"
11/8/2016,4463,334,1096,522,505,223,43,30,11,6,36,4,10,2,0.011223474,0.7612,1594,2094,703.09,712.99,702.39,709.85,"79,660,800","11,224,000,512"
11/9/2016,2896,321,742,352,275,113,52,40,3,0,46,8,14,1,0.005358283,1.1853,1484,1252,709.83,740.05,708.61,723.27,"132,429,000","11,333,000,192"
11/10/2016,2769,279,688,326,333,131,42,23,15,9,37,7,12,1,0.004616156,1.2374,1595,1289,722.84,723.02,711.21,715.53,"68,807,800","11,542,099,968"
11/11/2016,3481,312,924,432,442,164,38,30,17,6,50,9,20,3,0.016169686,1.2383,1585,1280,715.55,718.32,714.41,716.41,"63,119,700","11,427,200,000"
11/12/2016,2721,216,704,347,330,131,42,32,5,2,27,8,13,5,0.021821273,1.2267,1288,1050,716.75,717.15,704.03,705.05,"64,622,500","11,447,700,480"
11/13/2016,3175,273,775,407,375,153,55,37,12,5,29,3,11,0,0.021205983,1.3142,1531,1165,705.2,705.26,687.32,702.03,"80,318,096","11,264,499,712"
11/14/2016,3550,338,858,436,485,201,48,30,11,5,31,6,11,3,0.024261428,1.3549,1672,1234,702,706.28,699.81,705.02,"62,993,000","11,214,600,192"
11/15/2016,3962,372,932,457,484,182,60,46,8,1,44,14,28,2,0.022294394,1.3639,1844,1352,705.79,715.72,705.26,711.62,"72,038,496","11,283,399,680"
11/16/2016,4755,407,1124,555,549,233,52,37,15,5,31,8,17,1,0.014198351,1.3945,2195,1574,711.17,747.61,709.04,744.2,"141,294,000","11,370,699,776"
11/17/2016,5109,386,1173,580,702,276,49,33,15,12,33,3,28,7,0.031509987,1.3506,2138,1583,744.88,755.65,739.51,740.98,"108,579,000","11,911,300,096"
11/18/2016,5384,427,1322,649,709,286,48,35,11,4,50,12,21,4,0.020377519,1.458,2276,1561,740.71,752.88,736.89,751.59,"87,363,104","11,845,999,616"
11/19/2016,3998,290,892,414,548,222,51,32,17,13,32,4,17,2,0.017792469,1.447,1897,1311,751.83,756.24,744.47,751.62,"110,608,000","12,025,400,320"
11/20/2016,4239,287,982,475,511,219,45,34,15,7,37,12,18,6,0.032543219,1.5797,2071,1311,751.88,755.48,717.94,731.03,"154,116,000","12,027,499,520"
11/21/2016,4204,394,1090,554,556,247,61,47,14,12,52,9,14,0,0.020498411,1.585,2154,1359,731.27,741.72,730.51,739.25,"60,802,400","11,698,899,968"
11/22/2016,5500,438,1288,600,725,269,63,38,18,11,53,17,28,2,0.022874597,1.5422,2469,1601,739.64,753.87,736.53,751.35,"129,906,000","11,834,200,064"
11/23/2016,4681,441,1112,557,644,287,53,38,14,8,48,7,28,5,0.025070113,1.6254,2287,1407,751.74,752.25,738.92,744.59,"76,543,800","12,028,999,680"
11/24/2016,5897,499,1423,676,823,328,65,44,25,12,56,6,36,6,0.022275189,1.6587,2790,1682,744.62,746.83,733.49,740.29,"85,919,296","11,916,499,968"
11/25/2016,5193,410,1206,581,770,327,72,46,18,8,51,9,29,8,0.031960642,1.7116,2463,1439,740.44,741.65,734.59,741.65,"67,807,600","11,851,100,160"
11/26/2016,4190,286,960,467,613,259,39,18,12,7,25,7,25,8,0.021180996,1.5987,1984,1241,741.51,742.21,729.63,735.38,"54,962,700","11,869,599,744"
11/27/2016,3977,303,914,452,585,239,71,42,17,10,21,6,14,6,0.024386093,1.6119,1973,1224,735.44,739.02,731.09,732.03,"52,601,800","11,773,800,448"
11/28/2016,4306,365,1025,485,590,247,57,39,18,10,38,6,32,5,0.017155344,1.54,2139,1389,732.48,738.01,732.48,735.81,"61,888,600","11,727,800,320"
11/29/2016,5284,377,1325,631,731,285,48,40,20,11,30,9,22,5,0.022471775,1.544,2333,1511,736.33,737.47,734.56,735.6,"68,511,104","11,790,900,224"
11/30/2016,4580,434,1125,554,621,238,67,41,14,6,46,12,31,8,0.020885077,1.4894,2176,1461,736.28,747.93,736.27,745.69,"84,070,800","11,791,599,616"
12/1/2016,4209,397,1019,487,524,204,63,46,11,7,37,13,16,1,0.022369379,1.3573,1907,1405,746.05,758.28,746.05,756.77,"80,461,904","11,949,200,384"
12/2/2016,5985,400,1420,645,754,324,65,42,26,14,36,9,26,7,0.013874282,1.3692,2544,1858,757.54,781.3,757.54,777.94,"127,605,000","12,134,800,384"
12/3/2016,4270,316,994,466,636,270,38,27,12,4,28,5,33,7,0.021039092,1.3745,2059,1498,778.25,778.25,764.86,771.16,"69,547,296","12,467,800,064"
12/4/2016,4177,314,1027,493,527,211,44,29,14,9,29,8,15,6,0.026581834,1.3062,1732,1326,771.64,773.87,768.16,773.87,"60,557,900","12,363,599,872"
12/5/2016,5474,406,1217,582,798,365,62,46,17,7,39,10,37,8,0.031383395,1.4179,2297,1620,773.39,773.47,751.71,758.7,"106,363,000","12,393,100,288"
12/6/2016,5351,422,1197,573,645,237,60,42,16,8,41,11,34,10,0.021343234,1.4783,2386,1614,758.72,765.62,758.72,764.22,"116,218,000","12,159,399,936"
12/7/2016,5655,410,1314,631,790,320,64,51,14,8,36,6,24,3,0.03175276,1.4894,2675,1796,764.21,771.54,759.75,768.13,"96,426,096","12,248,899,584"
12/8/2016,5695,421,1391,704,783,340,56,44,10,7,42,12,29,3,0.024196247,1.5606,2564,1643,768.08,774.7,765.95,770.81,"80,111,904","12,312,500,224"
12/9/2016,4629,358,1104,544,556,226,51,39,11,6,31,9,27,6,0.021849187,1.5782,2271,1439,769.94,774.53,769.65,772.79,"68,705,296","12,344,000,512"
12/10/2016,3591,286,859,405,439,160,35,24,14,6,39,9,12,2,0.015797724,1.3698,1741,1271,773.02,777.09,772.91,774.65,"53,843,100","12,394,500,096"
12/11/2016,3376,252,760,357,441,162,42,29,14,6,32,10,7,1,0.028327742,1.3489,1736,1287,774.75,774.8,765.41,769.73,"57,313,400","12,423,600,128"
12/12/2016,4132,351,1070,525,491,184,46,31,12,4,37,8,17,2,0.016399322,1.4008,2055,1467,770.04,781.92,770.04,780.09,"76,571,000","12,349,800,448"
12/13/2016,4606,365,1162,535,605,220,51,36,20,9,36,3,29,5,0.014817409,1.3872,2171,1565,780.65,788.46,777.96,780.56,"81,645,600","12,521,499,648"
12/14/2016,4724,414,1148,590,564,217,56,35,8,3,45,5,24,2,0.022731867,1.3918,2032,1460,780.01,782.03,776.84,781.48,"75,979,000","12,512,900,096"
12/15/2016,4350,393,995,475,594,248,46,33,8,1,39,8,24,6,0.017523277,1.3383,1970,1472,780.07,781.43,777.8,778.09,"81,580,096","12,511,699,968"
12/16/2016,3799,374,879,415,500,217,45,30,13,8,41,10,29,8,0.011223793,1.3117,1797,1370,778.96,785.03,778.96,784.91,"83,608,200","12,498,799,616"
12/17/2016,3801,293,865,431,461,191,48,34,10,5,37,11,25,3,0.01647449,1.4277,1976,1384,785.17,792.51,784.86,790.83,"78,989,800","12,599,600,128"
12/18/2016,3393,232,889,446,421,193,47,31,12,8,13,5,6,1,0.006448467,1.3884,1723,1241,791.01,794.74,788.03,790.53,"60,524,400","12,694,800,384"
12/19/2016,4391,377,992,485,626,276,64,43,16,9,42,9,24,4,0.021483179,1.4155,1952,1379,790.69,793.61,790.32,792.71,"74,886,400","12,691,099,648"
12/20/2016,4702,397,1180,570,582,234,49,32,13,8,28,2,18,1,0.011864418,1.3543,2068,1527,792.25,801.34,791.5,800.88,"99,629,296","12,717,599,744"
12/21/2016,5937,469,1476,693,661,262,74,59,8,4,47,16,31,4,0.014934621,1.4006,2535,1810,800.64,834.28,799.41,834.28,"155,576,000","12,853,699,584"
12/22/2016,5878,527,1389,651,603,221,78,56,16,6,54,7,16,2,0.00888526,1.3402,2545,1899,834.18,875.78,834.15,864.54,"200,027,008","13,393,800,192"
12/23/2016,6714,544,1525,688,642,221,87,54,12,4,59,15,19,1,0.014745156,1.3654,2907,2129,864.89,925.12,864.68,921.98,"275,564,000","13,888,600,064"
12/24/2016,3958,282,997,444,364,137,48,26,14,6,42,11,12,3,0.010115416,1.3082,1944,1486,922.18,923.48,886.34,898.82,"137,727,008","14,810,300,416"
12/25/2016,3757,255,915,426,443,150,51,33,7,3,29,10,11,1,0.008575893,1.2228,1707,1396,899.65,899.65,862.42,896.18,"143,664,992","14,450,100,224"
12/26/2016,3633,312,960,471,408,155,53,36,10,6,47,11,6,0,0.011555305,1.2529,1808,1443,896.91,913.18,896.9,907.61,"123,771,000","14,407,799,808"
12/27/2016,4675,406,1148,544,548,215,74,51,12,3,44,13,20,6,0.015659019,1.3348,2105,1577,908.35,940.05,904.26,933.2,"167,308,000","14,593,300,480"
12/28/2016,5696,521,1442,686,568,218,84,54,14,6,51,7,15,2,0.008294157,1.3739,2605,1896,934.83,975.92,934.83,975.92,"236,630,000","15,020,499,968"
12/29/2016,5634,487,1378,673,564,218,63,40,12,8,61,19,23,4,0.01550554,1.4163,2732,1929,975.13,979.4,954.5,973.5,"199,320,000","15,669,999,616"
12/30/2016,5280,381,1206,599,541,214,63,42,9,6,41,10,16,1,0.012843622,1.3497,2694,1996,972.53,972.53,934.83,961.24,"187,474,000","15,630,199,808"
12/31/2016,3479,308,890,449,360,146,45,30,14,8,32,7,7,1,0.015080103,1.3391,1935,1445,960.63,963.74,947.24,963.74,"99,135,104","15,440,700,416"
1/1/2017,5032,462,1065,489,412,149,58,41,9,3,69,21,13,2,0.021300133,1.4237,2483,1744,963.66,"1,003.08",958.7,998.33,"147,775,008","15,491,200,000"
1/2/2017,6223,567,1538,754,596,205,91,66,17,5,62,12,29,1,0.013609649,1.4443,3059,2118,998.62,"1,031.39",996.7,"1,021.75","222,184,992","16,055,100,416"
1/3/2017,6282,531,1606,771,636,205,84,62,16,5,55,13,26,3,0.012800624,1.4064,2966,2109,"1,021.60","1,044.08","1,021.60","1,043.84","185,168,000","16,426,600,448"
1/4/2017,10140,900,2301,994,901,287,122,83,34,14,78,16,38,5,0.012772594,1.5391,4411,2866,"1,044.40","1,159.42","1,044.40","1,154.73","344,945,984","16,795,400,192"
1/5/2017,10003,939,2123,955,947,309,120,74,37,13,91,23,42,5,0.011294299,1.3789,4269,3096,"1,156.73","1,191.10",910.42,"1,013.38","510,199,008","18,603,999,232"
1/6/2017,8211,710,1945,920,884,323,108,73,39,16,85,15,47,7,0.015061812,1.4067,3933,2796,"1,014.24","1,046.81",883.94,902.2,"351,876,000","16,314,099,712"
1/7/2017,5885,433,1287,554,646,226,63,40,15,5,55,11,20,5,0.018195855,1.3327,2748,2062,903.49,908.59,823.56,908.59,"279,550,016","14,534,400,000"
1/8/2017,5099,453,1271,588,636,224,55,37,11,6,63,8,19,3,0.01750879,1.419,2530,1783,908.17,942.72,887.25,911.2,"158,715,008","14,611,399,680"
1/9/2017,5075,519,1360,681,541,193,76,55,17,8,53,12,34,5,0.010372801,1.3493,2476,1835,913.24,913.69,879.81,902.83,"141,876,992","14,694,899,712"
1/10/2017,5366,462,1318,637,613,257,59,37,14,6,55,13,22,5,0.016635238,1.4215,2634,1853,902.44,914.87,901.06,907.68,"115,808,000","14,522,600,448"
1/11/2017,7208,630,1562,690,862,339,85,55,30,11,67,12,26,6,0.013198939,1.3402,3053,2278,908.11,919.45,762.77,777.76,"310,928,992","14,615,700,480"
1/12/2017,6326,553,1417,658,760,324,72,47,24,13,43,6,23,2,0.016321256,1.3626,2961,2173,775.18,826.25,755.76,804.83,"222,326,000","12,477,599,744"
1/13/2017,5215,423,1184,560,578,215,73,52,17,5,38,9,23,6,0.014262257,1.3899,2595,1867,803.74,829,780,823.98,"168,968,000","12,939,100,160"
1/14/2017,3706,364,877,435,445,170,54,35,16,7,41,6,17,4,0.004519517,1.1468,1687,1471,825.14,835.09,812.46,818.41,"93,063,296","13,285,199,872"
1/15/2017,3652,276,892,426,407,169,50,35,15,8,29,4,19,1,0.007776318,1.2761,1932,1514,818.14,823.31,812.87,821.8,"71,013,600","13,174,299,648"
